Godina,Dan,Vrijeme,Predmet,Tip,Profesor,Učionica
5,Wed,10-12,Razvoj IT rješenja,Predavanje,izv. prof. dr. sc. Snježana Babić,108
5,Wed,14-16,Stručna praksa diplomski,Predavanje,doc. dr. sc. Ivan Lorencin,108
5,Fri,8-10,Upravljanje projektima,Predavanje,dipl. ing. Gordan Krčelić,108
5,Fri,10-12,Upravljanje projektima,Vježbe,dipl. ing. Gordan Krčelić,108
5,Tue,14-16,Napredni algoritmi i strukture podataka,Predavanje,izv. prof. dr. sc. Tihomir Orehovački,109
5,Tue,16-18,Internet stvari,Predavanje,izv. prof. dr. sc. Siniša Sovilj,109
5,Wed,8-10,Internet stvari,Vježbe,dipl. ing. Dalibor Fonović,110
5,Thu,8-10,Napredni algoritmi i strukture podataka,Vježbe,mr. sc. Igor Škorić,110
5,Thu,10-12,Funkcijsko programiranje,Vježbe,doc. dr. sc. Siniša Miličić,110
5,Tue,10-12,Funkcijsko programiranje,Predavanje,doc. dr. sc. Siniša Miličić,132
